time-ms,jvm:gc-count,jvm:gc-time-ms,jvm:heap-bytes:mean,jvm:non-heap-bytes:mean,jvm:direct-bytes:mean,kafka-consumer:bytes-consumed-total,kafka-consumer:fetch-rate,kafka-consumer:fetch-total,kafka-consumer:records-consumed-total,kafka-consumer:records-per-request-avg,broker:kafka.server:type=BrokerTopicMetrics:name=BytesOutPerSec,broker:kafka.server:type=BrokerTopicMetrics:name=TotalFetchRequestsPerSec
12100.0,11.0,1106.0,2.38339592E8,3.0103788E8,8.23632892E8,5.93016037E8,0.5325060196332654,23.0,118390.0,5381.363636363636,6.54311424E8,1224.0
12200.0,11.0,1176.0,2.88960336E8,3.01076456E8,8.23632892E8,6.46932913E8,0.5530336198354725,24.0,129154.0,5381.416666666667,7.06740224E8,1324.0
12300.0,12.0,1176.0,2.4389616E8,3.01093072E8,8.23632892E8,6.46932913E8,0.5516860906144404,24.0,129154.0,5381.416666666667,7.06740224E8,1324.0
12400.0,12.0,1176.0,2.4706556E8,3.01133504E8,8.23632892E8,6.46932913E8,0.5731710113029324,25.0,129154.0,5381.416666666667,7.06740224E8,1324.0
12500.0,12.0,1176.0,2.42730616E8,3.01187504E8,8.23632892E8,6.46932913E8,0.5722657144165179,25.0,129154.0,5381.416666666667,7.08837376E8,1326.0
12600.0,12.0,1176.0,2.48552976E8,3.0119384E8,8.23632892E8,6.46932913E8,0.5708544549481664,25.0,129154.0,5381.416666666667,7.08837376E8,1326.0
12700.0,12.0,1176.0,2.87987624E8,3.01195568E8,8.33912634E8,7.00854798E8,0.5921202459576407,26.0,139919.0,5381.5,7.61266176E8,1426.0
12800.0,12.0,1176.0,2.95168616E8,3.01177368E8,8.33912634E8,7.00854798E8,0.5911374849373622,26.0,139919.0,5381.5,7.61266176E8,1426.0
12900.0,12.0,1180.0,2.92573376E8,3.01177368E8,8.33912634E8,7.00854798E8,0.5897965202005309,26.0,139919.0,5381.5,7.61266176E8,1426.0
13000.0,12.0,1180.0,3.27292936E8,3.01177368E8,8.33912634E8,7.00854798E8,0.6110532747929208,27.0,139919.0,5381.5,7.63363328E8,1428.0
