time-ms,jvm:gc-count,jvm:gc-time-ms,jvm:heap-bytes,jvm:non-heap-bytes,jvm:direct-bytes,kafka-consumer:bytes-consumed-total,kafka-consumer:fetch-rate,kafka-consumer:fetch-total,kafka-consumer:records-consumed-total,kafka-consumer:records-per-request-avg,broker:kafka.server:type=BrokerTopicMetrics-name=BytesOutPerSec,broker:kafka.server:type=BrokerTopicMetrics-name=TotalFetchRequestsPerSec
5000.0,9.0,750.0,3.6981608E8,3.2148792E8,6.41050663E8,1.00530775E8,0.28498147620404674,10.0,20070.0,2007.0,3.2505856E8,610.0
5100.0,10.0,750.0,3.26226248E8,3.21548792E8,6.4105123E8,1.00530775E8,0.312579921002529,11.0,20070.0,2007.0,3.27155712E8,612.0
5200.0,10.0,750.0,3.15094432E8,3.21585592E8,6.91481525E8,1.35163029E8,0.34003003598651216,12.0,26984.0,2248.6666666666665,3.79584512E8,712.0
5300.0,10.0,753.0,3.14955568E8,3.21632216E8,6.91481525E8,1.35163029E8,0.3390788358293303,12.0,26984.0,2248.6666666666665,3.79584512E8,712.0
5400.0,10.0,753.0,3.26062584E8,3.21661672E8,6.91481525E8,1.35163029E8,0.3381138880279507,12.0,26984.0,2248.6666666666665,3.79584512E8,712.0
5500.0,10.0,753.0,3.66319664E8,3.21708512E8,6.91481525E8,1.35163029E8,0.36523009495982467,13.0,26984.0,2248.6666666666665,3.81681664E8,714.0
5600.0,10.0,817.0,3.69366544E8,3.21801864E8,6.92069307E8,1.62281757E8,0.3911816479923999,14.0,32398.0,2314.1428571428573,4.34110464E8,814.0
5700.0,11.0,817.0,2.75856E8,3.2180936E8,6.92069307E8,1.62281757E8,0.38997214484679665,14.0,32398.0,2314.1428571428573,4.34110464E8,814.0
5800.0,11.0,817.0,3.13020688E8,3.21890224E8,6.92069307E8,1.62281757E8,0.41671296810756747,15.0,32398.0,2314.1428571428573,4.36207616E8,816.0
5900.0,11.0,817.0,3.2221344E8,3.21984984E8,7.42748489E8,1.91904991E8,0.44333610418398445,16.0,38312.0,2394.5,4.88636416E8,916.0
6000.0,11.0,819.0,3.24770056E8,3.22006696E8,7.42748489E8,1.91904991E8,0.44211108040895275,16.0,38312.0,2394.5,4.88636416E8,916.0
6100.0,11.0,819.0,3.28833104E8,3.219336E8,7.42749102E8,1.91904991E8,0.46839698021711584,17.0,38312.0,2394.5,4.90733568E8,918.0
6200.0,11.0,819.0,3.83035064E8,3.21964488E8,7.93087698E8,2.21528217E8,0.49333991119881604,18.0,44226.0,2457.0,5.43162368E8,1018.0
6300.0,11.0,882.0,3.73914824E8,3.22066664E8,7.93087698E8,2.21528217E8,0.4932858317347218,18.0,44226.0,2457.0,5.43162368E8,1018.0
6400.0,12.0,882.0,3.09830008E8,3.22089984E8,7.93088311E8,2.21528217E8,0.5192533683146129,19.0,44226.0,2457.0,5.4525952E8,1020.0
6500.0,12.0,885.0,3.1949224E8,3.22132288E8,7.93088311E8,2.61164434E8,0.5449739774925748,20.0,52139.0,2606.95,5.9768832E8,1120.0
6600.0,12.0,885.0,3.83249936E8,3.22175464E8,7.93088878E8,2.61164434E8,0.5707762557077626,21.0,52139.0,2606.95,5.99785472E8,1122.0
6700.0,12.0,885.0,3.74305568E8,3.22259616E8,8.00616964E8,2.9329216E8,0.5963675792897805,22.0,58553.0,2661.5,6.52214272E8,1222.0
6800.0,12.0,885.0,3.77807776E8,3.22292912E8,8.00616964E8,2.9329216E8,0.5947553392808866,22.0,58553.0,2661.5,6.52214272E8,1222.0
6900.0,12.0,959.0,4.14155904E8,3.2230488E8,8.00616964E8,3.0080566E8,0.619045055714055,23.0,60053.0,2611.0,6.54311424E8,1224.0
7000.0,12.0,959.0,4.25658912E8,3.22310576E8,8.00619274E8,3.02884395E8,0.6448665932235269,24.0,60468.0,2519.5,7.06740224E8,1324.0
7100.0,12.0,959.0,4.28031064E8,3.2231636E8,8.00619274E8,3.02884395E8,0.6433109068003323,24.0,60468.0,2519.5,7.06740224E8,1324.0
7200.0,13.0,959.0,3.20007064E8,3.22311624E8,8.21468466E8,3.02884395E8,0.6413682522715125,24.0,60468.0,2519.5,7.06740224E8,1324.0
7300.0,13.0,959.0,3.27942512E8,3.22311624E8,8.21468466E8,3.02884395E8,0.6661870120180137,25.0,60468.0,2519.5,7.06740224E8,1324.0
7400.0,13.0,959.0,3.21460304E8,3.22286576E8,8.21468466E8,3.20415895E8,0.6650174234564945,25.0,63968.0,2558.72,7.08837376E8,1326.0
7500.0,13.0,962.0,3.6961804E8,3.22156336E8,8.22449262E8,3.22489621E8,0.689326051222228,26.0,64382.0,2476.230769230769,7.61266176E8,1426.0
7600.0,13.0,962.0,3.86920144E8,3.22162024E8,8.22449262E8,3.22489621E8,0.7140590288797207,27.0,64382.0,2476.230769230769,7.61266176E8,1426.0
7700.0,13.0,962.0,4.33760896E8,3.22226712E8,8.22451572E8,3.54617347E8,0.7369390709303856,28.0,70796.0,2528.4285714285716,8.15792128E8,1528.0
7800.0,14.0,1027.0,2.69587976E8,3.2225504E8,8.22513114E8,3.54617347E8,0.7351010763980047,28.0,70796.0,2528.4285714285716,8.15792128E8,1528.0
7900.0,14.0,1027.0,3.15388664E8,3.22258496E8,8.22513114E8,3.54617347E8,0.7593213238374529,29.0,70796.0,2528.4285714285716,8.1788928E8,1530.0
8000.0,14.0,1027.0,3.20808544E8,3.22259816E8,8.22513114E8,3.76717055E8,0.7833511763323499,30.0,75208.0,2506.9333333333334,8.7031808E8,1630.0
8100.0,14.0,1030.0,3.1688176E8,3.22263912E8,8.22513114E8,3.76717055E8,0.781473859699393,30.0,75208.0,2506.9333333333334,8.7031808E8,1630.0
8200.0,14.0,1030.0,3.32931344E8,3.22279E8,8.22513114E8,3.76717055E8,0.8053203096586481,31.0,75208.0,2506.9333333333334,8.72415232E8,1632.0
8300.0,14.0,1095.0,3.7192924E8,3.22320752E8,8.22379309E8,4.11359299E8,0.8530438154323381,33.0,82124.0,2566.375,9.24844032E8,1732.0
8400.0,14.0,1095.0,3.97446256E8,3.22318896E8,8.22379309E8,4.11359299E8,0.852845402387967,33.0,82124.0,2566.375,9.26941184E8,1734.0
8500.0,15.0,1095.0,3.30599728E8,3.22323584E8,8.22379309E8,4.43482016E8,0.8761080189651618,34.0,88537.0,2604.029411764706,9.79369984E8,1834.0
8600.0,15.0,1098.0,3.25320992E8,3.22278232E8,8.22379309E8,4.43482016E8,0.8998585936495693,35.0,88537.0,2604.029411764706,9.81467136E8,1836.0
8700.0,15.0,1098.0,3.86847432E8,3.22280408E8,8.22381619E8,4.78114242E8,0.9233136701718389,36.0,95451.0,2651.4166666666665,1.033895936E9,1936.0
8800.0,15.0,1098.0,3.91800376E8,3.2226508E8,8.22381619E8,4.78114242E8,0.9464610032486633,37.0,95451.0,2651.4166666666665,1.035993088E9,1938.0
8900.0,15.0,1162.0,4.28629896E8,3.22149656E8,8.22381619E8,5.1774545E8,0.9672164528609245,38.0,103363.0,2720.0789473684213,1.088421888E9,2038.0
9000.0,15.0,1162.0,4.45318392E8,3.2191612E8,8.22381619E8,5.1774545E8,0.9671918348647204,38.0,103363.0,2720.0789473684213,1.088421888E9,2038.0
9100.0,16.0,1162.0,3.2841612E8,3.219174E8,8.22381619E8,5.1774545E8,0.9900990099009901,39.0,103363.0,2720.0789473684213,1.09051904E9,2040.0
9200.0,16.0,1162.0,3.8518156E8,3.21963832E8,8.22381619E8,5.49863158E8,1.011659374288677,40.0,109775.0,2744.375,1.14294784E9,2140.0
9300.0,16.0,1166.0,3.81981016E8,3.21972344E8,8.22381619E8,5.49863158E8,1.0103816716764757,40.0,109775.0,2744.375,1.14294784E9,2140.0
9400.0,16.0,1166.0,4.27565096E8,3.21989808E8,8.22381619E8,5.84926158E8,1.0328756770374103,41.0,116775.0,2848.170731707317,1.145044992E9,2142.0
9500.0,16.0,1232.0,4.28502168E8,3.21991504E8,8.22381619E8,5.87004893E8,1.0541904068672974,42.0,117190.0,2790.2380952380954,1.197473792E9,2242.0
9600.0,17.0,1232.0,2.62761272E8,3.21996168E8,8.22381619E8,5.87004893E8,1.0528690682108748,42.0,117190.0,2790.2380952380954,1.197473792E9,2242.0
9700.0,17.0,1232.0,2.81355664E8,3.22006424E8,8.22381619E8,5.87004893E8,1.0752150430086018,43.0,117190.0,2790.2380952380954,1.199570944E9,2244.0
9800.0,17.0,1235.0,3.28237744E8,3.2204232E8,8.22381619E8,6.29155628E8,1.121439429810352,45.0,125605.0,2854.659090909091,1.251999744E9,2344.0
9900.0,17.0,1235.0,3.89504592E8,3.22059088E8,8.22381619E8,6.64218628E8,1.119514379540253,45.0,132605.0,2946.777777777778,1.254096896E9,2346.0
10000.0,17.0,1235.0,3.90634592E8,3.22061112E8,8.22381619E8,6.66297363E8,1.1663399260490857,47.0,133020.0,2891.7391304347825,1.306525696E9,2446.0
10100.0,17.0,1235.0,4.39866816E8,3.22059168E8,8.24214234E8,7.05938589E8,1.187472168621048,48.0,140934.0,2936.125,1.361051648E9,2548.0
